Score-ScoreOther,ScoreOther-Score,Number of Records,Score (bin),Emotion,Id Of The Other In The Pair,Id,One Of The Pairs And With Hashtag Flag,One Of The Pairs Flag,Query Hashtag,Score Of The Other,Score,Testflag,Tweet Of The Other In The Pair,Tweet
,,1,0.60,anger,,10213,singleton,0,,,0.604,train,,"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster."
,,1,0.10,anger,,10850,singleton,0,,,0.125,train,,@cburt43 turn that frown upside down
,,1,0.20,anger,,10767,singleton,0,,,0.222,train,,@CharlotteBnntt that's the joke. I know it's incense
,,1,0.60,anger,,10196,singleton,0,,,0.625,train,,@CI  I don't think Monalisa has respect for anyone but herself! I think she'll ruffle a few feathers. #TheJail
,,1,0.65,anger,,10148,singleton,0,,,0.667,train,,@cineworld 'Congratulations your Free 1 month has been activated' Then charges £34.80 the same month. Absolutely furious 😡
,,1,0.40,anger,,10533,singleton,0,,,0.438,train,,"@clarechampion @Westclarepage and peter your radio piece on off the ball was pure class , no digs , no revenge , a total balanced pro ! 👏👏👏"
,,1,0.55,anger,,10246,singleton,0,,,0.583,train,,@CorbettBarr @pjrvs @brianclark true. Just me spitting venom because I'm still bitter with Stripe. Like an old man yelling from his porch.
,,1,0.10,anger,,10851,singleton,0,,,0.125,train,,@CorningFootball  IT'S GAME DAY!!!!      T MINUS 14:30
,,1,0.35,anger,,10709,singleton,0,,,0.354,train,,@CrayonToCrayon @SueScoby \nIt's always fun to anger 'All the Old Dudes.' with Rock N' Roll :))
,,1,0.45,anger,,10466,singleton,0,,,0.479,train,,@danrafaelespn no Tyson fury beat the man who been at top for years Danny Garcia should be above Bradley pacquaio frampton
,,1,0.55,anger,,10276,singleton,0,,,0.562,train,,@DanRather What King says doesn't matter. The fact he came w/ psycho Don is by far more of an affront.
,,1,0.80,anger,,10108,singleton,0,,,0.817,train,,@DarkLuneFantasy wallah my blood is boiling I need to take a nap ugh
,,1,0.50,anger,,10322,singleton,0,,,0.542,train,,"@Darren_Hammer amen, nothing personal mate, just tired of all of the complaining from our fans, it's Been a relentless tirade of misery"
,,1,0.65,anger,,10135,singleton,0,,,0.667,train,,@dcexaminer Democrats and their voters have zero tolerance for honesty. They associate honesty with anger and hate.
,,1,0.50,anger,,10311,singleton,0,,,0.542,train,,@Deadspin @jrzy_boy This is about him being left off because they wanted to play a heavier game. We needed his offense tho. Amongst others.
,,1,0.40,anger,,10566,singleton,0,,,0.417,train,,@DeltaDomain @SawDraze @qurions dis dat nigga from fume right?
,,1,0.50,anger,,10187,singleton,0,,,0.531,train,,@deshbhakthoon always unhappy and easily offended.
,,1,0.60,anger,,10174,singleton,0,,,0.646,train,,@Disneyland #nothappy and still #charging the #fullprice 😡😡 #fuming some your #bestrides 😳😳
,,1,0.50,anger,,10342,singleton,0,,,0.542,train,,@djddueces jojo at 12:30 and not midnight lets rage WRYYYYYY
,,1,0.45,anger,,10525,singleton,0,,,0.462,train,,@DL_Hart @DonnieDollars @AaronBiggsPro @WWENoWayJose @cwfmidatlantic How did that chop feel? You still feel the sting of it? Looks brutal!
,,1,0.35,anger,,10677,singleton,0,,,0.375,train,,@dlrwills turn that frown upside down buddy 🙃.
,,1,0.25,anger,,10794,singleton,0,,,0.271,train,,@DMAnthonyJoseph @TheClumpany No grudge. Only truth in abundance.
,,1,0.40,anger,,10564,singleton,0,,,0.417,train,,@Docjp they unleashing God's wrath just as Cain did
,,1,0.40,anger,,10585,singleton,0,,,0.417,train,,"@donna_bellav @SoniaRayS @gig_aholic He looks especially lovely. Sadly, I do not *removes potentially indignant Mr D from convo*"
,,1,0.50,anger,,10310,singleton,0,,,0.542,train,,"@DouthatNYT @jbouie @DamonLinker Yes, it is bad to point out racism lest it provoke the racists.  Some racists do indeed not like it."
,,1,0.45,anger,,10464,singleton,0,,,0.479,train,,@DRUDGE_REPORT @FoxNews good thing the FBI didn't offend them!
,,1,0.50,anger,,10330,singleton,0,,,0.542,train,,@eNCA what they should be doing is directing their anger to the thieves in government...#corruption #FeesMustFall
,,1,0.15,anger,,10825,singleton,0,,,0.188,train,,"@ezlisteningdisc it doesn't offend me but it's just,,, Weird."
,,1,0.40,anger,,10589,singleton,0,,,0.417,train,,"@feistyarcher -trouble,' he feigned anger and gave her a look that told her to behave. He knew she wouldn't though, and that was one of -"
,,1,0.50,anger,,10338,singleton,0,,,0.542,train,,@fireemblemlord it's the first expac since wrath that feels like a proper 'evolution' of the game for me
,,1,0.85,anger,,10080,singleton,0,,,0.864,train,,@firstleeds not only are your buses unreliable your e ticket app is too unable to get on two buses and late for work #fuming #useless reply
,,1,0.45,anger,,10507,singleton,0,,,0.458,train,,"@fleetstreetfox It's buzzing pathetically for sympathy if you let it out it will twirl it's moustache, chuckle and sting you #Psychowasp"
,,1,0.65,anger,,10120,singleton,0,,,0.688,train,,@FoxNews @SheriffClarke @FoxNewsInsider This man is an affront to our justice system.
,,1,0.45,anger,,10436,singleton,0,,,0.479,train,,@Freepenalties @TMortimerFtbl Doll is a vile creature on the touchline. Every game he has tantrums &amp; shouts at the ref. Would love to see
,,1,0.25,anger,,10784,singleton,0,,,0.271,train,,"@FrizzeyesJr meeee, i'm lvl 320 and i have not a single relentless"
,,1,0.65,anger,,10136,singleton,0,,,0.667,train,,@gerfingerpoken #rage?? The #CrookedCourt said #rage MANY times to explain away the brutal killings of #Petits by #Hayes &amp; #Komisarjevsky
,,1,0.75,anger,,10036,singleton,0,,,0.792,train,,@ggreenwald @SusanSarandon We are blaming 5% of the fucking idiots who are putting the World in the middle of their tantrums. You are one.
,,1,0.50,anger,,10357,singleton,0,,,0.521,train,,@girlsreallyrule Both Trump + King are relentless self-promoters who don't give a rip about anyone else. A perfect match for both Donalds.
,,1,0.35,anger,,10658,singleton,0,,,0.375,train,,"@GreyTheTick But even if I jumped through that hoop, it just takes one irate netizen to decide me playing by 'the rules' isn't enough."
,,1,0.45,anger,,10430,singleton,0,,,0.479,train,,@GriffinBowie23 @AliMcClimond sorry to #offend u griffin!!
,,1,0.65,anger,,10123,singleton,0,,,0.688,train,,@GroupAnon black armed thug with a record carrying gun illegally gets shot by black cop. #outrage   This is a joke.Let em destroy their town
,,1,0.60,anger,,10194,singleton,0,,,0.625,train,,@GrxjicTank WHY though! Why did u want to offend Americans?
,,1,0.45,anger,,10426,singleton,0,,,0.479,train,,"@healeyraine I'm offended, I actually am"
,,1,0.50,anger,,10379,singleton,0,,,0.521,train,,"@HebertofNH any time a man who got paid to throw temper tantrums speaks up, you gotta listen."
,,1,0.45,anger,,10496,singleton,0,,,0.458,train,,@HillaryClinton Yeah U gotta make them HEEL. I know U need their votes so U have to wait. But when U LOSE-they're really in for your wrath !
,,1,0.50,anger,,10086,singleton,0,,,0.538,train,,@hollyrobinson__ Part 2-was buzzing for a cheeky squashie or two-this was NOT what i expected.SORT IT OUT! #food #angry  @coopuk @coopukfood
,,1,0.50,anger,,10254,singleton,0,,,0.5,train,,@Hoopdawg87 @MickThePerm Meanwhile white cops keep killing black people. But there's less outrage about that. Strange society that.
,,1,0.40,anger,,10551,singleton,0,,,0.438,train,,@hoytschile fury road!!
,,1,0.45,anger,,10509,singleton,0,,,0.458,train,,@HuffPostUK  NO greater wrath than a woman scorned.
,,1,0.50,anger,,10397,singleton,0,,,0.5,train,,"@iamsrk what's up w the gender bias? #indignant This fancypants saddler's daughter will opt for the leather jacket, thank you very much."
,,1,0.50,anger,,10312,singleton,0,,,0.542,train,,@Idubbbz @LeafyIsHere  I am offended
,,1,0.30,anger,,10776,singleton,0,,,0.304,train,,@ImpugnValkyrie *I frown and cup your cheeks in my hands after you step aside.* Angela I care about you. And I don't know how else I can -
,,1,0.45,anger,,10450,singleton,0,,,0.479,train,,"@IndigoHawthorne Then u understand that rage is often not pretty, or controlled or rational - it is often visceral-not always logical."
,,1,0.50,anger,,10314,singleton,0,,,0.542,train,,@IrishTimesPol @IrishTimes Irish citizens boiling drinking water in 2016 leaves one foot firmly in the bog!
,,1,0.40,anger,,10536,singleton,0,,,0.438,train,,"@iStoleFreeHugs @stephlaris lol I'm happy with my negative, realistic ass self. Sorry to offend you"
,,1,0.05,anger,,10853,singleton,0,,,0.067,train,,@jaaames1993 Literally burst out laughing.
,,1,0.25,anger,,10733,singleton,0,,,0.296,train,,@jamiesonhelen @MarianKeyes all three of my agin's on the pout .
,,1,0.15,anger,,10832,singleton,0,,,0.188,train,,@JaredLeto Jared + #snap? 💘
,,1,0.35,anger,,10623,singleton,0,,,0.396,train,,"@jaybusbee Well, not Archie. No offense but he's kinda old."
,,1,0.40,anger,,10590,singleton,0,,,0.417,train,,@JBCrewdotcom how his own fans insult him
,,1,0.70,anger,,10110,singleton,0,,,0.708,train,,"@jennylhowe I am angry at the student for being a racist, and the teacher for not stopping it, and at the class for letting it go by."
,,1,0.20,anger,,10582,singleton,0,,,0.242,train,,@jessebwatters lol. Love it when you aggravate Juan. Keep up the good work. Lol
,,1,0.25,anger,,10787,singleton,0,,,0.271,train,,@jetmissTee I thought I peeped him on your snap. That's the homie ✊🏽 lol
,,1,0.35,anger,,10683,singleton,0,,,0.354,train,,@JoeGoodmanJr. A solution. But the assumptions by media in articles and every other venue causes animosity to the conversation.
,,1,0.45,anger,,10431,singleton,0,,,0.479,train,,@JohnKerry can be as indignant as he wants but the world knows Obama will do nothing and Putin will just do what he wants #Aleppo #Syria
,,1,0.35,anger,,10748,singleton,0,,,0.389,train,,@JOjojosiejay or in my case a raging moody cow lol why i buy moody cow socks lol
,,1,0.35,anger,,10611,singleton,0,,,0.396,train,,@josephperson Cam is still rattled from the backlash he received when he made the black QB comment and suffered the wrath of White America.
,,1,0.75,anger,,10059,singleton,0,,,0.75,train,,@JrDingy96 Ikr people still got a grudge against him for no reason like wtf?!
,,1,0.40,anger,,10583,singleton,0,,,0.417,train,,@judahandthelion TONIGHT. Legit can't wait to rage 🤘🏻🤘🏻🤘🏻🤘🏻🤘🏻🔥
,,1,0.60,anger,,10222,singleton,0,,,0.604,train,,@judy_that Im honestly offended
,,1,0.30,anger,,10757,singleton,0,,,0.312,train,,@justinbieber Thank u Justin for this amazing concert. I can't believe that only u can provoke these thousand smiles these night#BelieveTour
,,1,0.20,anger,,10640,singleton,0,,,0.231,train,,@JustinRow10 dude the new madden 17? Haha
,,1,0.35,anger,,10675,singleton,0,,,0.375,train,,@JustPyroNow are you gonna do any kind of community raids when wrath of the machine drops?
,,1,0.70,anger,,10078,singleton,0,,,0.729,train,,"@justyne_haley it does. if one person ruins season 13 for me, I will be so angry"
,,1,0.30,anger,,10728,singleton,0,,,0.333,train,,@kateracculia @themathofyou It's true! I reverse-engineered the drink. It's a scientific method. I hear it's all the rage.
,,1,0.75,anger,,10054,singleton,0,,,0.75,train,,@KatzeAnilothei this amount of greedy mooching makes me snarl.
,,1,0.50,anger,,10374,singleton,0,,,0.521,train,,@keithboykin unfortunately it won't end there... followers of whichever candidate isn't elected will throw tantrums. No winning this elec
,,1,0.45,anger,,10510,singleton,0,,,0.458,train,,@kencurtin they might get Donal óg sure! They won't have him in cork as he's to fiery for dopey frank &amp; his cult
,,1,0.50,anger,,10413,singleton,0,,,0.5,train,,@kerrybowen_ you have anger issues!
,,1,0.40,anger,,10580,singleton,0,,,0.417,train,,"@KevinI @GGGBoxing @SpecialKBrook pretty average, klitschko fury did about 600k and Joshua white did about 450k"
,,1,0.50,anger,,10348,singleton,0,,,0.521,train,,@KimLy resent
,,1,0.25,anger,,10804,singleton,0,,,0.25,train,,@KingNicky7 also madden isn't the funniest game to watch and if there isn't much happening it's boring
,,1,0.70,anger,,10104,singleton,0,,,0.708,train,,@kingvee_ don't provoke me to anger
,,1,0.45,anger,,10494,singleton,0,,,0.458,train,,"@kitanoye Hell is hot and boiling, isi ewu"
,,1,0.30,anger,,10753,singleton,0,,,0.312,train,,"@Klipto the orange one is #poisonous and #bitter. You shouldn't judge the #blue one by how it looks but by how it tastes, #delicious."
,,1,0.30,anger,,10729,singleton,0,,,0.333,train,,@KodieBurch yesss..apparently you've been popular on snap 🙄
,,1,0.35,anger,,10707,singleton,0,,,0.354,train,,@l1ght__eyes u tried boiling em takes years too
,,1,0.45,anger,,10454,singleton,0,,,0.479,train,,@LaraTheIrish &lt; feel everything. She would remember everything. Evanora hoped this would serve to fuel the creatures anger and run rabid &gt;
,,1,0.50,anger,,10363,singleton,0,,,0.521,train,,@laura221b I've left it for my dad to deal with 😂 My work is done as soon as it's felt the wrath of my slipper 😷
,,1,0.25,anger,,10780,singleton,0,,,0.271,train,,@leener00 @libbyfloyd1 @G_Eazy my snap is andriaprebles ❤️
,,1,0.75,anger,,10024,singleton,0,,,0.792,train,,"@LeKingCoq @MistaAggy @GiovanniiDC The way my blood is boiling, little bastards!"
,,1,0.55,anger,,10252,singleton,0,,,0.583,train,,@lemonlover666 'shit' doesn't even begin to describe these fiery little demons straight from hell 🌝🌚 ;)
,,1,0.45,anger,,10475,singleton,0,,,0.458,train,,"@len_snart gives a frustrated growl, before stepping closer and putting his gun through the barrier. No alarms and nothing happened. He-"
,,1,0.25,anger,,10795,singleton,0,,,0.271,train,,"@Lesdoggg take me with you!! JK. Have fun, relax, get a massage or two and chill. Don't eat the cucumbers, most places frown on that."
,,1,0.55,anger,,10242,singleton,0,,,0.583,train,,@lesyoung01 a rabid dog being ridden by the child who has eaten all the flesh off one fellow and the limbs of the other adults.
,,1,0.30,anger,,10727,singleton,0,,,0.333,train,,@lethargytyler ehhh I guess. I want to everyone I've ever burst out laughing in front of😂
,,1,0.55,anger,,10272,singleton,0,,,0.562,train,,"@Lexual__ @jdspielman10 RIP to the 100s of black men,, women,CHILDREN killed in Chicago. Where is the outrage?"
,,1,0.60,anger,,10231,singleton,0,,,0.604,train,,@LickMeLucas ...I'm waiting for you to figure out I'm like... from 0 to 100 real quick with the irritation.
,,1,0.30,anger,,10696,singleton,0,,,0.328,train,,@LonelyGoomba I wouldn't bring this up if I were you. It's a very touchy subject. And people get way to offended these days
,,1,0.45,anger,,10511,singleton,0,,,0.458,train,,"@LouisFil just curious as to what you mean. No rush, no animosity, no disdain."
,,1,0.45,anger,,10433,singleton,0,,,0.479,train,,"@lydss_xx @tharealversace @fatbellybella fuckin luv incense, this is me as fuck 😂"
,,1,0.55,anger,,10294,singleton,0,,,0.562,train,,"@LynneGarrison yeah, I've only seen that floated online as a theory, it was probably made up by a bitter stan. I ignore pets v vets crap too"
,,1,0.35,anger,,10685,singleton,0,,,0.354,train,,"@lyskoi anyway, I found a short scale today that was perfect for my purposes. soft on the hands, won't aggravate my (now-chronic) tendonitis"
,,1,0.45,anger,,10468,singleton,0,,,0.479,train,,"@m_t_f_72 I'm not surprised, I would be fuming! 😤"
,,1,0.50,anger,,10365,singleton,0,,,0.521,train,,@m_warner21 Yikes. The wrath of Maddie...
,,1,0.60,anger,,10157,singleton,0,,,0.646,train,,@mandyjohnson I'll be honest.. I hope that annoying Southern bint with the 'look at me' pout goes out this week! Selasi #FTW
,,1,0.45,anger,,10217,singleton,0,,,0.468,train,,@MannyM83 @DareToReagan oh yeah. I HATE the air raid and I don't like the Oregon/Baylor offense and I'm not a fan of the ole miss one either
,,1,0.35,anger,,10704,singleton,0,,,0.354,train,,"@MeghanEMurphy Oh gosh, if you get 800+ raging comments from cruise fans, I will just die laughing!"
,,1,0.45,anger,,10459,singleton,0,,,0.479,train,,@MetPoliceFC is it true none of your players are cops? Do they drink chilled bitter? Are your players Walter Mitty types? @KeviboyAllen
,,1,0.30,anger,,10756,singleton,0,,,0.312,train,,@MetsProspectHub @brianpmangan taking offense to acount...he ranks 32 of 36 over last 2 years by SABR
,,1,0.15,anger,,10746,singleton,0,,,0.172,train,,"@MHChat sadness with resentment is the past, sadness with fear is the future. try to live in the now #MHchat"
,,1,0.75,anger,,10070,singleton,0,,,0.75,train,,@mjmralph then it's poor packaging my Amazon and the fulfilled seller should be furious as much as you 😕
,,1,0.40,anger,,10574,singleton,0,,,0.417,train,,"@MMASOCCERFAN @outmagazine No offense but the only way this makes sense is if you work for the magazine. Otherwise,who are you apologizing 4"
,,1,0.55,anger,,10074,singleton,0,,,0.553,train,,@Ms_HeartAttack holy shit it just a bee sting like fuck you're not dying
,,1,0.15,anger,,10830,singleton,0,,,0.188,train,,@Ms_HeartAttack peanut butter takes away the sting
,,1,0.80,anger,,10096,singleton,0,,,0.831,train,,"@NeoFundie @fitchest Ha. Right. I'm from San Jose, CA, and I was offended right there with you. Dave, go on a walk or something next time."
,,1,0.25,anger,,10786,singleton,0,,,0.271,train,,@NessaMatthews he's perfect. But not even in that way where you sort of resent him or suspect that he leads a double life. Just perfect.
,,1,0.50,anger,,10366,singleton,0,,,0.521,train,,@Nigerianscamsss @TrillSmith you think I came back to twitter and not ruffle a few bushes? Tuh.
,,1,0.50,anger,,10320,singleton,0,,,0.542,train,,"@NM_NickNocturne Incentivise people to roam the Internet being morally offended, as if they didn't do it enough already."
,,1,0.35,anger,,10701,singleton,0,,,0.354,train,,@notquitefrodo @dominictarason I remember TAs in the gamedev program said he had temper tantrums in class all the time lol
,,1,0.55,anger,,10270,singleton,0,,,0.562,train,,@nytopinion  The point of voting for Trump to push all the pieces off the board game like an angry toddler? Wreck everything for everybody?
,,1,0.60,anger,,10156,singleton,0,,,0.646,train,,@oreillyfactor why dont #blm #thugs want #justice when its black on black #gang crime? They only #rage and cry #racism when its a #cop
,,1,0.70,anger,,10102,singleton,0,,,0.708,train,,@oscar_perria a multimillionaire spoiled brat who gets In a self righteous huff bc his friend is Muslim is a non starter bye!
,,1,0.35,anger,,10606,singleton,0,,,0.396,train,,"@ParrishWalton @kjmgolf Also, our best assets on offense are our RB's and our WR's (longterm). Have to have an offense to utilize both."
,,1,0.40,anger,,10548,singleton,0,,,0.438,train,,@PatriotsInform I don't see why you think we'll have a dumbed down simplified offense with Brissett. He comes from a very complicated system
,,1,0.50,anger,,10401,singleton,0,,,0.5,train,,@PatVPeters @FreeBeacon Quite the response of retaliation from Weiner in getting revenge on Huma &amp; Hillary 'clam digging'.\n#AllScumbags
,,1,0.50,anger,,10340,singleton,0,,,0.542,train,,@paulkrugman relentless echo chamber - negative comments with lots of reverb. Typical bully behavior.
,,1,0.25,anger,,10788,singleton,0,,,0.271,train,,@pbump @AndyRichter  My heart goes out to that woman for the indignity of what she is sitting through.
,,1,0.35,anger,,10680,singleton,0,,,0.375,train,,"@PerfectQuartz She's jogging a bit to stay beside her, puffing her cheeks with a huff each time. 'Oh-- jeez Jasper, why don't you —"
,,1,0.30,anger,,10751,singleton,0,,,0.312,train,,@pianimadi regarde tes snap
,,1,0.70,anger,,10099,singleton,0,,,0.708,train,,@politico @realDonaldTrump another angry white man!
,,1,0.45,anger,,10506,singleton,0,,,0.458,train,,@PrincessCasGirl @DaddyEllis__ tiff you better hurry cause 👀
,,1,0.35,anger,,10667,singleton,0,,,0.375,train,,"@pugglelover3691 some of those haters are just taught hate and not shown love. There is a good quote that goes to your comment tiff, treat"
,,1,0.50,anger,,10355,singleton,0,,,0.5,train,,@PuseLepuru it's the irritation of not having found the corpse
,,1,0.35,anger,,10655,singleton,0,,,0.375,train,,"@rabpeel snap, seems to be a problem here"
,,1,0.45,anger,,10429,singleton,0,,,0.479,train,,@realDonaldTrump: No sense in taking out your wrath on innocent people because you think police shot an innocent man. #MakeAmericaSafeAgain
,,1,0.30,anger,,10745,singleton,0,,,0.312,train,,@RealJeffsdomain Wolfpack theme and trons and sting wore the wolf shirt
,,1,0.25,anger,,10596,singleton,0,,,0.254,train,,"@RealPaulWalker R.I.P Paul, furious 8 can't wait"
,,1,0.40,anger,,10555,singleton,0,,,0.438,train,,@RegalisAzura \ngrasp the cobalt woman's own; which they did fairly easily. Fair cheeks would ignite into a fiery hue. Warm.. was the only
,,1,0.35,anger,,10681,singleton,0,,,0.375,train,,"@RichardHBell Yes, I think he held a grudge ..."
,,1,0.35,anger,,10608,singleton,0,,,0.396,train,,@RiotzXVl papercuts sting and stub ur toe last for like 10 secs
,,1,0.35,anger,,10708,singleton,0,,,0.354,train,,@RLH2606 if u know who died.. I would also burst out crying....\nFrom JOY!!! 😉
,,1,0.60,anger,,10152,singleton,0,,,0.646,train,,@RobertTaitWHU against Chelsea anything is possible haha. I'm fuming about that bet 🙄🙄🙄🙄🙄🙄
,,1,0.60,anger,,10186,singleton,0,,,0.625,train,,@RonMexico760 The guy who calls people 'cuck' and is anti-BLM is offended by idea that he might not be pro-policing reform? That's amazing.
,,1,0.50,anger,,10409,singleton,0,,,0.5,train,,@RoyEnglish roy as fiery
,,1,0.75,anger,,10038,singleton,0,,,0.792,train,,@rtrn94 Mine is that the party did decide but the party has been slowly transformed into a vengeful hell-cult of white male resentment
,,1,0.35,anger,,10616,singleton,0,,,0.396,train,,@rumanaa_r @DaiIyRoasts what did I do to offend you? 🙄😭😂
,,1,0.55,anger,,10259,singleton,0,,,0.583,train,,@saclivin @MrsCagg specific &amp; intentional way. And part of that intention is to provoke conversation around systemic racism towards blacks.
,,1,0.40,anger,,10568,singleton,0,,,0.417,train,,"@SageHillfarms @HintonAlisa @hb_heather Hey, Jayme! Were your👂👂 burning cuz I was talking about you?😁 Are you going tomorrow?"
,,1,0.50,anger,,10333,singleton,0,,,0.542,train,,"@SapientSoldier timid but determined version of the rabid beasts beyond the land. Growling beneath my restrained breath, I //rip// myself --"
,,1,0.45,anger,,10432,singleton,0,,,0.479,train,,"@sarah_urbina why do you even beef Sara you let the anger get the best of you, you and Sagin been friends for how long?"
,,1,0.35,anger,,10622,singleton,0,,,0.396,train,,@SarahMi40605180 @kaileighhxo sorry to burst the bubble but there was never any illusion 🙈😂😂
,,1,0.40,anger,,10563,singleton,0,,,0.417,train,,"@Sargon_of_Akkad It'll be like burning rap albums; they'll have to buy it first, but gosh darn it, they have to get rid of it."
,,1,0.65,anger,,10177,singleton,0,,,0.69,train,,"@sebbyD27850 both are nonsensical. If there's injustice against blacks, why add to it by destroying black property. It's misdirected anger"
,,1,0.30,anger,,10718,singleton,0,,,0.333,train,,"@ShieldsCap &lt; Steve between his feet, feeling a blush sting his cheeks. 'I can undress myself, thank you very much,' he snapped &gt;"
,,1,0.25,anger,,10782,singleton,0,,,0.271,train,,@shopgreenwich #ldf16 what shall we do this weekend?  #spraypainting in #greenwichmarket with @SNUB23 #core246 #lilylou #fret &amp; #benoakley
,,1,0.45,anger,,10457,singleton,0,,,0.479,train,,@simon_penn_r @AntisocialJW2 has turned into a rather fiery GG radical)
